"model","Accuracy","Precision","Recall","F1","AUC","Accuracy_sd","Precision_sd","Recall_sd","F1_sd","AUC_sd"
"Logistic",0.511329666906408,0.622905317165394,0.697721744643725,0.592895660233137,0.637635585576429,0.13770932611149,0.175434620632436,0.318841476409068,0.194705425889476,0.105995580318915
"RandomForest",0.500693604445149,0.602056643534231,0.61302385212059,0.586859916394567,0.594266994573982,0.0931670833432603,0.14552285517471,0.153442606651124,0.124425173403793,0.0912217741700839
"DecisionTree",0.520705536527167,0.610512491731139,0.609338638329855,0.594558593148244,0.550443663570922,0.0897264946088516,0.173608205800901,0.160345127603372,0.146913464373857,0.0913024289607334
"Random",0.518419082916374,0.619406944972185,0.58694433564918,0.591944858515689,0.5,0.025142851644638,0.149067950722965,0.0160384454653409,0.0796954552045261,0
