"test_year","model","n_train","n_test","p_pos_train","p_pos_test","Accuracy","Precision","Recall","F1","AUC"
2013,"Logistic",754,248,0.557029177718834,0.725806451612903,0.358870967741935,0.783783783783784,0.161111111111111,0.267281105990783,0.505065359477124
2013,"DecisionTree",754,248,0.557029177718834,0.725806451612903,0.399193548387097,0.67032967032967,0.338888888888889,0.450184501845018,0.527532679738562
2013,"RandomForest",754,248,0.557029177718834,0.725806451612903,0.370967741935484,0.657894736842105,0.277777777777778,0.390625,0.526307189542484
2013,"Random",754,248,0.557029177718834,0.725806451612903,0.536451612903226,0.733074700386023,0.568444444444445,0.639786103443754,0.5
2014,"Logistic",1002,247,0.598802395209581,0.623481781376518,0.603238866396761,0.73728813559322,0.564935064935065,0.639705882352941,0.659474933668482
2014,"DecisionTree",1002,247,0.598802395209581,0.623481781376518,0.493927125506073,0.635514018691589,0.441558441558442,0.521072796934866,0.517281105990783
2014,"RandomForest",1002,247,0.598802395209581,0.623481781376518,0.526315789473684,0.622516556291391,0.61038961038961,0.616393442622951,0.509216589861751
2014,"Random",1002,247,0.598802395209581,0.623481781376518,0.5217004048583,0.620768388929971,0.598051948051948,0.608815722150957,0.5
2015,"Logistic",1249,250,0.603682946357087,0.392,0.428,0.40174672489083,0.938775510204082,0.562691131498471,0.648966165413533
2015,"DecisionTree",1249,250,0.603682946357087,0.392,0.432,0.328125,0.428571428571429,0.371681415929204,0.514769065520945
2015,"RandomForest",1249,250,0.603682946357087,0.392,0.512,0.425925925925926,0.704081632653061,0.530769230769231,0.505739795918367
2015,"Random",1249,250,0.603682946357087,0.392,0.48144,0.395267518660599,0.608367346938776,0.478831452842194,0.5
2016,"Logistic",1499,254,0.56837891927952,0.708661417322835,0.47244094488189,0.633720930232558,0.605555555555556,0.619318181818182,0.456531531531532
2016,"DecisionTree",1499,254,0.56837891927952,0.708661417322835,0.543307086614173,0.731884057971015,0.561111111111111,0.635220125786164,0.588025525525525
2016,"RandomForest",1499,254,0.56837891927952,0.708661417322835,0.52755905511811,0.672413793103448,0.65,0.661016949152542,0.517154654654655
2016,"Random",1499,254,0.56837891927952,0.708661417322835,0.525826771653543,0.708482430127348,0.563222222222222,0.626946952060571,0.5
2017,"Logistic",1753,251,0.588705077010839,0.601593625498008,0.322709163346614,0.376623376623377,0.19205298013245,0.254385964912281,0.605629139072848
2017,"DecisionTree",1753,251,0.588705077010839,0.601593625498008,0.50996015936255,0.582352941176471,0.655629139072848,0.616822429906542,0.406456953642384
2017,"RandomForest",1753,251,0.588705077010839,0.601593625498008,0.52191235059761,0.628099173553719,0.503311258278146,0.558823529411765,0.517019867549669
2017,"Random",1753,251,0.588705077010839,0.601593625498008,0.516254980079681,0.599425252393573,0.59205298013245,0.595347587596911,0.5
2018,"Logistic",2004,249,0.590319361277445,0.29718875502008,0.353413654618474,0.314893617021277,1,0.478964401294498,0.882393822393823
2018,"DecisionTree",2004,249,0.590319361277445,0.29718875502008,0.365461847389558,0.212328767123288,0.418918918918919,0.281818181818182,0.641196911196911
2018,"RandomForest",2004,249,0.590319361277445,0.29718875502008,0.333333333333333,0.235632183908046,0.554054054054054,0.330645161290323,0.697181467181467
2018,"Random",2004,249,0.590319361277445,0.29718875502008,0.463132530120482,0.295232762363425,0.582162162162162,0.391433587046422,0.5
2019,"Logistic",2253,249,0.557922769640479,0.779116465863454,0.381526104417671,0.87037037037037,0.242268041237113,0.379032258064516,0.620618556701031
2019,"DecisionTree",2253,249,0.557922769640479,0.779116465863454,0.586345381526104,0.80952380952381,0.61340206185567,0.697947214076246,0.464620431115276
2019,"RandomForest",2253,249,0.557922769640479,0.779116465863454,0.514056224899598,0.778625954198473,0.525773195876289,0.627692307692308,0.519400187441425
2019,"Random",2253,249,0.557922769640479,0.779116465863454,0.536224899598393,0.781570381930646,0.562061855670103,0.653466980618693,0.5
2020,"Logistic",2502,252,0.579936051159072,0.666666666666666,0.718253968253968,0.721461187214612,0.94047619047619,0.816537467700258,0.745960884353742
2020,"DecisionTree",2502,252,0.579936051159072,0.666666666666666,0.642857142857143,0.714285714285714,0.773809523809524,0.742857142857143,0.626417233560091
2020,"RandomForest",2502,252,0.579936051159072,0.666666666666666,0.615079365079365,0.676616915422886,0.80952380952381,0.737127371273713,0.603245464852608
2020,"Random",2502,252,0.579936051159072,0.666666666666666,0.526825396825397,0.668200369651029,0.575714285714286,0.618078648546604,0.5
2021,"Logistic",2754,254,0.587872185911402,0.759842519685039,0.590551181102362,0.751412429378531,0.689119170984456,0.718918918918919,0.61590078994309
2021,"DecisionTree",2754,254,0.587872185911402,0.759842519685039,0.543307086614173,0.712707182320442,0.66839378238342,0.689839572192513,0.681389620317676
2021,"RandomForest",2754,254,0.587872185911402,0.759842519685039,0.476377952755905,0.676470588235294,0.595854922279793,0.633608815426997,0.72377473880914
2021,"Random",2754,254,0.587872185911402,0.759842519685039,0.540629921259843,0.756907385449955,0.582383419689119,0.657910497475591,0.5
2022,"Logistic",3008,254,0.602393617021276,0.480314960629922,0.476377952755905,0.478260869565217,0.991803278688525,0.645333333333333,0.625993541977149
2022,"DecisionTree",3008,254,0.602393617021276,0.480314960629922,0.456692913385827,0.462962962962963,0.819672131147541,0.591715976331361,0.384687034277198
2022,"RandomForest",3008,254,0.602393617021276,0.480314960629922,0.44488188976378,0.448648648648649,0.680327868852459,0.54071661237785,0.638505961251863
2022,"Random",3008,254,0.602393617021276,0.480314960629922,0.49251968503937,0.477757461037502,0.60688524590164,0.534260642622604,0.5
