"Date","Open","High","Low","Close","Adj.Close","Volume"
2010-01-04,12.2302713394165,12.4608488082886,12.2206630706787,12.4608488082886,5.31160306930542,91911560
2010-01-05,12.4608488082886,12.6001567840576,12.4512424468994,12.5473155975342,5.34846067428589,48280066
2010-01-06,12.5473155975342,12.6481943130493,12.4944753646851,12.5953531265259,5.36893892288208,12069848
2010-01-07,12.5953531265259,12.6049613952637,12.4032049179077,12.537709236145,5.3443660736084,21497189
2010-01-08,12.537709236145,12.6962308883667,12.5184936523438,12.6337833404541,5.38531875610352,44302415
2010-01-11,12.6337833404541,12.7490720748901,12.5184936523438,12.5473155975342,5.34846067428589,42657631
2010-01-12,12.5473155975342,12.6529979705811,12.4800643920898,12.5425119400024,5.34641361236572,31361471
2010-01-13,12.5425119400024,12.5809421539307,12.4080076217651,12.4416341781616,5.30341339111328,37275170
2010-01-14,12.4416341781616,12.5521202087402,12.3503637313843,12.4608488082886,5.31160306930542,25719625
2010-01-15,12.4608488082886,12.6145677566528,12.2398777008057,12.3071298599243,5.2460789680481,37230304
2010-01-18,12.3071298599243,12.3839902877808,12.1870374679565,12.3071298599243,5.2460789680481,11087206
2010-01-19,12.3071298599243,12.4896717071533,12.1293926239014,12.4224185943604,5.29522180557251,60193891
2010-01-20,12.4128122329712,12.4128122329712,11.9900846481323,12.0861587524414,5.15188837051392,36319015
2010-01-21,12.0861587524414,12.1774301528931,11.6874504089355,11.7210760116577,4.9962649345398,48413616
2010-01-22,11.6874504089355,11.6874504089355,11.3607969284058,11.6730394363403,4.97579050064087,48121047
2010-01-25,11.6730394363403,11.7066650390625,11.4088354110718,11.4520683288574,4.88159799575806,29856894
2010-01-26,11.4520683288574,11.6394128799438,11.2983493804932,11.55774974823,4.92664575576782,81774025
2010-01-27,11.2118816375732,11.2118816375732,10.7122945785522,10.8227806091309,4.61335372924805,115545543
2010-01-28,10.8227806091309,10.9909105300903,10.5153427124023,10.5441646575928,4.49459266662598,73474090
2010-01-29,10.5441646575928,10.7363138198853,10.4913244247437,10.6642580032349,4.54578256607056,43074887
2010-02-01,10.6642580032349,10.7507247924805,10.5105390548706,10.6786689758301,4.551926612854,37063671
2010-02-02,10.6786689758301,10.8900327682495,10.6354360580444,10.7987623214722,4.6031174659729,59594984
2010-02-03,10.7987623214722,10.8660135269165,10.3087825775146,10.3472118377686,4.41063833236694,73400997
2010-02-04,10.3472118377686,10.4144639968872,9.51616859436035,9.56708812713623,4.0780987739563,106038311
2010-02-05,9.51905059814453,9.51905059814453,9.13283157348633,9.29135513305664,3.96056413650513,80797148
2010-02-08,9.29135513305664,9.44891738891602,9.05020809173584,9.34515571594238,3.98349809646606,40055935
2010-02-09,9.34515571594238,9.56900978088379,9.23274898529053,9.44315242767334,4.02527141571045,57244568
2010-02-10,9.62665367126465,9.91487789154053,9.62665367126465,9.76115894317627,4.16082382202148,62567431
2010-02-11,9.76115894317627,9.91487789154053,9.42489814758301,9.59783172607422,4.09120321273804,50520063
2010-02-12,9.59783172607422,9.72272872924805,9.39799690246582,9.55171585083008,4.07154703140259,31950109
2010-02-15,9.55171585083008,9.73713970184326,9.51136493682861,9.60743999481201,4.095299243927,64823724
2010-02-16,9.60743999481201,9.82841110229492,9.51616859436035,9.70351409912109,4.13625335693359,31598370
